CM1	CM2	CM3	CP1	CP2	CP3	CP4	CP5	KM1	KM2	KM3	KP1	KP2	KP3	KP4	KP5	KP5.1
100287102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
653635	415	696	474	428	397	454	438	433	516	906	464	367	461	415	486	294	305
102466751	0	3	5	0	9	10	8	20	1	3	6	6	5	10	8	14	11
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729737	771	29	190	23	13	4	513	143	599	24	258	12	6	0	343	70	184
102725121	3	6	10	3	1	5	13	9	8	2	9	1	1	0	7	0	1
102723897	248	447	297	302	332	413	503	614	339	506	361	271	346	460	371	400	518
102465909	0	1	0	2	0	0	0	4	0	0	0	0	0	2	1	0	0
729759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100132287	12	15	10	16	1	10	11	13	13	12	18	11	2	3	9	7	22
105378947	4	2	1	1	3	15	2	1	2	1	2	1	3	1	1	4	0
101928626	2	1	1	0	11	13	4	7	4	3	2	5	4	1	0	3	2
102465432	8	4	9	12	3	2	5	14	5	8	11	6	6	3	1	9	9
81399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100133331	98	63	91	92	74	117	112	222	97	47	79	42	55	93	82	85	179
100288069	186	101	144	109	150	207	111	342	152	69	108	111	65	128	104	166	163
400728	1	8	2	5	17	9	2	3	7	12	21	8	20	6	14	3	8
79854	21	15	103	39	23	79	22	189	31	33	92	24	36	111	23	105	121
643837	374	843	2535	388	1472	1307	884	742	431	720	3406	400	1580	1052	976	404	554
284593	1	0	4	0	2	0	0	2	0	0	13	4	4	0	0	0	0
100130417	11	6	3	0	61	4	10	27	9	11	24	7	98	17	2	70	87
148398	58	2	20	38	453	33	1	107	87	20	44	84	1345	113	6	347	539
26155	6541	6763	12717	6662	14247	19173	12480	18773	6698	5150	10461	5610	16187	15155	9725	15476	19033
339451	355	486	732	416	895	846	613	1028	501	475	909	465	968	866	555	847	995
84069	502	341	174	1180	194	917	399	246	615	439	209	1335	356	965	365	367	386
84808	233	118	49	448	94	402	199	91	290	161	79	470	172	400	148	157	181
57801	2148	1726	2319	2129	1185	1680	555	1015	3308	3379	1877	2074	1053	1636	607	939	784
9636	19884	4371	4723	27295	4991	2499	9101	1948	38048	26583	6571	21221	3817	2814	12349	2406	2678
375790	81215	58992	6078	62717	9922	44055	42070	13025	96197	59831	9955	64414	14933	37836	49571	22744	33167
105369174	113	33	100	245	18	62	57	21	162	29	123	227	23	66	43	49	82
105378948	91	41	71	41	14	78	112	37	135	39	124	48	4	89	133	73	95
401934	474	303	174	507	0	531	365	0	674	558	394	440	3	651	837	6	1
54991	1357	851	812	979	923	1505	1433	795	1701	971	1049	893	925	1485	1858	813	964
254099	2	0	23	0	0	0	15	0	0	0	24	0	0	1	10	0	0
406984	0	5	7	3	0	2	15	0	6	3	16	6	0	3	37	0	0
406983	1	2	7	6	0	4	23	0	6	6	25	0	0	3	51	0	0
554210	5	4	18	5	0	1	49	0	5	14	18	4	1	2	85	0	0
254173	29	10	34	10	2	16	48	0	21	32	35	20	0	23	67	0	0
8784	2	10	107	1	73	89	32	16	3	4	415	0	218	52	73	4	0
7293	4	2	21	4	2	2	2	5	2	6	68	6	4	0	4	6	6
51150	11955	13080	18911	10695	16827	20670	16047	14280	15253	13754	24723	10734	21133	20188	17839	18261	23688
126792	2101	2503	3214	1703	4747	4671	2871	2611	2627	2548	3705	1847	5224	4564	2871	3260	4070
388581	31	30	25	22	1178	26	11	31	22	19	36	35	2546	57	18	25	52
118424	3738	5279	8930	6122	6580	7481	4854	4164	4513	5849	8966	5098	7938	7005	5546	4190	3992
6339	136	98	83	114	358	51	9	620	141	102	127	156	247	61	22	641	837
116983	1859	2334	5682	900	753	2520	2248	3183	2006	2269	7088	929	832	2462	2446	3577	4943
102465434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
126789	981	1005	1424	785	798	2385	1102	984	1348	990	1504	897	1140	2676	1064	812	875
54973	3966	4100	4101	3435	4198	5687	5692	6381	4459	3553	4364	2779	4096	4976	4837	6005	8154
102465435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80772	2994	3348	3524	3017	4233	5254	1824	1660	3722	3361	5195	2993	5614	4965	2847	2358	2507
83756	126	58	321	146	92	210	37	75	143	61	897	204	103	172	13	314	402
1855	6803	5393	7193	7351	11313	10879	9974	5677	5726	5446	7660	6783	12944	9234	8850	6368	7920
102466740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54587	645	244	231	381	8287	196	348	1222	635	153	257	595	15772	183	404	2684	2430
54998	7932	10636	15844	9497	15534	15407	9500	14381	9399	9045	15980	7167	16875	12957	8844	14089	9020
81669	2054	3099	3920	4207	2355	4222	3596	6099	2632	3183	4196	4565	2209	4043	3697	5336	6808
