NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STEAP3	3	187.59165954589844	0.02996974	Yes	
row_1	SAR1B	5	174.04086303710938	0.058666244	Yes	
row_2	RAB15	11	130.50054931640625	0.07805857	Yes	
row_3	SCAMP1	12	128.4647216796875	0.09960938	Yes	
row_4	ZFAND6	21	103.48117065429688	0.11296903	Yes	
row_5	TIMM17B	37	74.70635986328125	0.11800151	Yes	
row_6	POM121C	45	68.21695709228516	0.12594536	Yes	
row_7	GOLGA4	54	62.38529586791992	0.1324109	Yes	
row_8	ATF2	60	59.67100143432617	0.13992111	Yes	
row_9	SEC63	63	59.311344146728516	0.14887097	Yes	
row_10	HPS6	64	58.56079864501953	0.15869494	Yes	
row_11	LMF1	65	58.49904251098633	0.16850854	Yes	
row_12	POM121	66	58.311431884765625	0.17829067	Yes	
row_13	CYB5R4	70	56.76536178588867	0.18631344	Yes	
row_14	PGRMC2	71	56.45763397216797	0.19578457	Yes	
row_15	LAMP2	72	55.772605895996094	0.2051408	Yes	
row_16	VPS8	73	55.37563705444336	0.21443042	Yes	
row_17	G3BP2	74	54.609031677246094	0.22359145	Yes	
row_18	SEC24B	82	53.10873794555664	0.22900079	Yes	
row_19	SMAD2	83	52.99692916870117	0.23789138	Yes	
row_20	AKAP8	84	52.92867660522461	0.24677052	Yes	
row_21	ATP1B1	85	52.64725875854492	0.25560245	Yes	
row_22	SLC26A6	91	51.009033203125	0.26165953	Yes	
row_23	ATP11C	93	50.402099609375	0.26961482	Yes	
row_24	NDC1	94	49.59221267700195	0.27793425	Yes	
row_25	RBM15B	101	48.090755462646484	0.28300178	Yes	
row_26	SLC25A4	104	47.50180435180664	0.28997052	Yes	
row_27	SLC29A3	108	47.07493209838867	0.29636768	Yes	
row_28	KPNA1	111	45.75014877319336	0.30304256	Yes	
row_29	SNX27	118	45.16038131713867	0.3076185	Yes	
row_30	SEC24A	120	44.821136474609375	0.31463754	Yes	
row_31	CASK	123	44.538490295410156	0.32110918	Yes	
row_32	TMEM115	124	44.175758361816406	0.32851994	Yes	
row_33	SPIRE2	126	43.72304153442383	0.33535478	Yes	
row_34	UHMK1	127	43.614986419677734	0.34267148	Yes	
row_35	CNIH4	129	43.32367706298828	0.34943932	Yes	
row_36	BET1	132	42.69601821899414	0.35560185	Yes	
row_37	TMEM9	139	41.25278854370117	0.35952228	Yes	
row_38	YWHAH	142	41.03177261352539	0.36540562	Yes	
row_39	TCIRG1	144	40.49304962158203	0.37169862	Yes	
row_40	HCN2	146	40.340858459472656	0.37796605	Yes	
row_41	SLC25A23	174	37.930423736572266	0.37082914	Yes	
row_42	ADRA2C	178	37.6933708190918	0.37565243	Yes	
row_43	RAB26	194	35.293155670166016	0.3740731	Yes	
row_44	CASC3	208	33.98467254638672	0.37327427	Yes	
row_45	SLC29A4	227	32.63773727416992	0.36974946	Yes	
row_46	SURF4	231	32.11986541748047	0.37363777	Yes	
row_47	RAB3D	236	31.371337890625	0.37690052	Yes	
row_48	SMPD3	240	31.113298416137695	0.38061997	Yes	
row_49	PIK3R2	245	30.8616943359375	0.38379723	Yes	
row_50	GOPC	253	30.216007232666016	0.38536617	Yes	
row_51	P3H1	257	30.009521484375	0.38890046	Yes	
row_52	NLGN2	261	29.708885192871094	0.39238432	Yes	
row_53	BLZF1	262	29.672876358032227	0.39736214	Yes	
row_54	LMTK2	266	29.309307098388672	0.40077898	Yes	
row_55	CAMSAP3	271	29.09208869934082	0.40365937	Yes	
row_56	IRS2	281	28.43000602722168	0.4039287	Yes	
row_57	TMEM132A	283	28.310590744018555	0.40817797	Yes	
row_58	SLC25A29	292	27.382755279541016	0.4087716	Yes	
row_59	SLC36A1	298	26.769025802612305	0.4107623	Yes	
row_60	YIF1A	300	26.73000717163086	0.41474643	Yes	
row_61	SNX33	306	26.6299991607666	0.4167138	Yes	
row_62	HYAL2	307	26.56301498413086	0.4211699	Yes	
row_63	RHOB	311	26.509048461914062	0.42411697	Yes	
row_64	RAB14	329	25.53462791442871	0.4199006	Yes	
row_65	VPS26C	330	25.440853118896484	0.42416847	Yes	
row_66	TRPM4	353	23.84544563293457	0.41716868	No	
row_67	CPLX1	361	23.323162078857422	0.4175813	No	
row_68	LRRC8E	382	22.103565216064453	0.4112893	No	
row_69	IPO11	389	21.884700775146484	0.41196063	No	
row_70	LRP1	394	21.703807830810547	0.41360158	No	
row_71	EXOC4	417	20.866657257080078	0.4061021	No	
row_72	TRIM3	419	20.844846725463867	0.40909895	No	
row_73	TGFB1	420	20.842241287231445	0.4125954	No	
row_74	SLC7A2	424	20.670499801635742	0.414563	No	
row_75	RAB6B	427	20.586387634277344	0.4170165	No	
row_76	PTPRN2	442	19.63192367553711	0.41330987	No	
row_77	SEL1L	449	19.475568771362305	0.41357702	No	
row_78	SLC35D1	455	19.37779426574707	0.4143278	No	
row_79	ARL5A	456	19.345495223999023	0.41757312	No	
row_80	AQP3	469	19.064414978027344	0.41477132	No	
row_81	RHBDD1	478	18.823949813842773	0.41392913	No	
row_82	CLSTN3	490	18.358264923095703	0.41150886	No	
row_83	SYT7	494	18.281587600708008	0.41307572	No	
row_84	ABCA2	495	18.22405433654785	0.41613293	No	
row_85	AKTIP	502	18.028947830200195	0.4161574	No	
row_86	SFT2D3	511	17.606678009033203	0.41511104	No	
row_87	MAVS	515	17.393930435180664	0.416529	No	
row_88	ABCD1	516	17.389816284179688	0.41944623	No	
row_89	QKI	526	17.034164428710938	0.41780382	No	
row_90	GPN1	536	16.780052185058594	0.4161188	No	
row_91	EXOC3L1	547	16.435754776000977	0.413876	No	
row_92	ABCC4	558	16.17720603942871	0.41158983	No	
row_93	SLC22A4	559	16.13863754272461	0.4142972	No	
row_94	SLC44A2	593	15.287474632263184	0.40036178	No	
row_95	EHD3	595	15.27688217163086	0.40242457	No	
row_96	ARRB1	622	14.689346313476562	0.3918888	No	
row_97	RAB12	628	14.519920349121094	0.39182463	No	
row_98	ABAT	641	14.28150463104248	0.38822043	No	
row_99	RAB37	666	13.568243980407715	0.3784966	No	
row_100	SELENBP1	676	13.395660400390625	0.3762438	No	
row_101	RTN2	683	13.238103866577148	0.3754646	No	
row_102	SLC27A1	699	12.628732681274414	0.37008315	No	
row_103	SCAMP5	702	12.620265007019043	0.37120026	No	
row_104	UNC93B1	724	12.34146499633789	0.36277065	No	
row_105	AP3B2	729	12.26363754272461	0.36282796	No	
row_106	F2R	736	12.186182975769043	0.36187226	No	
row_107	RAB36	753	11.89090347290039	0.35586703	No	
row_108	GNAZ	758	11.808984756469727	0.35584807	No	
row_109	PKDCC	788	11.046005249023438	0.3432011	No	
row_110	NECAB3	807	10.772126197814941	0.3360082	No	
row_111	TSNARE1	809	10.749238014221191	0.33731145	No	
row_112	MVB12B	816	10.646015167236328	0.3360974	No	
row_113	MVP	825	10.48954963684082	0.3338571	No	
row_114	SNX30	826	10.477679252624512	0.3356148	No	
row_115	RAB3C	831	10.347546577453613	0.33535066	No	
row_116	SLC45A4	832	10.335722923278809	0.33708453	No	
row_117	GLTPD2	834	10.318041801452637	0.33831546	No	
row_118	ACHE	840	10.176713943481445	0.3375227	No	
row_119	ARC	842	10.170943260192871	0.3387289	No	
row_120	FHIP1A	844	10.131144523620605	0.33992848	No	
row_121	RAB3A	845	10.130326271057129	0.34162793	No	
row_122	CLU	848	10.107771873474121	0.34232357	No	
row_123	INHBB	877	9.639410972595215	0.32994062	No	
row_124	SLC6A8	881	9.593698501586914	0.33005005	No	
row_125	MYO7A	884	9.565579414367676	0.33065474	No	
row_126	PINK1	886	9.536627769470215	0.33175457	No	
row_127	NAGPA	887	9.52763843536377	0.3333529	No	
row_128	TRPV4	909	9.316057205200195	0.3244157	No	
row_129	VPS37D	910	9.291353225708008	0.3259744	No	
row_130	HSPB1	916	9.134628295898438	0.32500678	No	
row_131	ATP6AP1	924	9.030034065246582	0.32302165	No	
row_132	SIDT2	934	8.876265525817871	0.3200107	No	
row_133	GAS6	984	8.16102123260498	0.29687977	No	
row_134	ANKRD50	985	8.153338432312012	0.29824755	No	
row_135	SLC15A3	992	8.084622383117676	0.29660377	No	
row_136	FLVCR2	1008	7.907108306884766	0.29043025	No	
row_137	NEURL1B	1037	7.512929916381836	0.2776906	No	
row_138	RAB43	1047	7.354379177093506	0.27442434	No	
row_139	SLC6A9	1051	7.271945953369141	0.27414426	No	
row_140	HAP1	1065	7.098012924194336	0.268835	No	
row_141	KCNB1	1078	6.955301761627197	0.2640018	No	
row_142	SMO	1095	6.748774528503418	0.25713393	No	
row_143	NEURL3	1108	6.532169342041016	0.25222975	No	
row_144	SIRT4	1109	6.530491352081299	0.25332528	No	
row_145	RAB39A	1113	6.514353275299072	0.25291812	No	
row_146	IL1RN	1121	6.433563232421875	0.2504974	No	
row_147	VGF	1151	5.991729259490967	0.23700254	No	
row_148	KIF5A	1152	5.9707746505737305	0.23800418	No	
row_149	PLTP	1167	5.7810540199279785	0.23197399	No	
row_150	NSG1	1175	5.690686225891113	0.22942863	No	
row_151	MX2	1187	5.617465496063232	0.22487101	No	
row_152	SLC52A1	1235	5.217739105224609	0.20224631	No	
row_153	LARGE1	1238	5.194664001464844	0.20211776	No	
row_154	NGFR	1248	5.130332946777344	0.1984784	No	
row_155	RTBDN	1258	5.047060966491699	0.19482508	No	
row_156	ADCY5	1266	4.982063293457031	0.19216084	No	
row_157	MAP1A	1296	4.692839622497559	0.17844811	No	
row_158	NOTCH1	1298	4.672615051269531	0.17873196	No	
row_159	AMN	1300	4.635356903076172	0.17900957	No	
row_160	ABCG1	1302	4.6096906661987305	0.17928289	No	
row_161	TGFB2	1311	4.514194011688232	0.17604017	No	
row_162	SIX3	1320	4.44719934463501	0.17278622	No	
row_163	MLXIPL	1322	4.410616874694824	0.17302613	No	
row_164	GNAO1	1326	4.384249687194824	0.17226161	No	
row_165	SLC16A2	1340	4.213009357452393	0.16646837	No	
row_166	SLC6A12	1375	4.003541946411133	0.15013999	No	
row_167	SLC17A7	1377	3.994936227798462	0.15031017	No	
row_168	GPR68	1380	3.9905295372009277	0.1499796	No	
row_169	CSF2	1390	-4.11827278137207	0.14617048	No	
row_170	ATP8A2	1420	-4.4205403327941895	0.13241205	No	
row_171	TLR4	1422	-4.4319844245910645	0.13265555	No	
row_172	ADTRP	1425	-4.450666904449463	0.13240217	No	
row_173	ARL4C	1444	-4.7345380783081055	0.124196425	No	
row_174	NTRK2	1471	-5.1793904304504395	0.1120653	No	
row_175	RFTN1	1474	-5.191365718841553	0.11193618	No	
row_176	CALCRL	1485	-5.2918291091918945	0.10782392	No	
row_177	NMU	1493	-5.500007629394531	0.10524659	No	
row_178	CAPS2	1503	-5.606596946716309	0.10168713	No	
row_179	LCP1	1525	-6.1007914543151855	0.092210576	No	
row_180	F2RL1	1584	-7.359578609466553	0.0644452	No	
row_181	PLEKHA8P1	1588	-7.415130138397217	0.06418913	No	
row_182	VEGFC	1599	-7.615478038787842	0.060466677	No	
