NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	STEAP3	3	187.59165954589844	0.036987633	Yes	
row_1	SAR1B	5	174.04086303710938	0.07217249	Yes	
row_2	RAB15	11	130.50054931640625	0.09648381	Yes	
row_3	SCAMP1	12	128.4647216796875	0.122814514	Yes	
row_4	ZFAND6	21	103.48117065429688	0.14012584	Yes	
row_5	TIMM17B	37	74.70635986328125	0.14812805	Yes	
row_6	POM121C	45	68.21695709228516	0.1586988	Yes	
row_7	GOLGA4	54	62.38529586791992	0.16758692	Yes	
row_8	ATF2	60	59.67100143432617	0.17738071	Yes	
row_9	SEC63	63	59.311344146728516	0.18856277	Yes	
row_10	HPS6	64	58.56079864501953	0.20056565	Yes	
row_11	LMF1	65	58.49904251098633	0.21255587	Yes	
row_12	POM121	66	58.311431884765625	0.22450764	Yes	
row_13	CYB5R4	70	56.76536178588867	0.23468053	Yes	
row_14	LAMP2	72	55.772605895996094	0.2456246	Yes	
row_15	VPS8	73	55.37563705444336	0.25697464	Yes	
row_16	SEC24B	82	53.10873794555664	0.2639614	Yes	
row_17	SMAD2	83	52.99692916870117	0.2748239	Yes	
row_18	AKAP8	84	52.92867660522461	0.2856724	Yes	
row_19	ATP1B1	85	52.64725875854492	0.29646322	Yes	
row_20	NDC1	94	49.59221267700195	0.30272922	Yes	
row_21	KPNA1	111	45.75014877319336	0.3043091	Yes	
row_22	SNX27	118	45.16038131713867	0.31064138	Yes	
row_23	SEC24A	120	44.821136474609375	0.3193408	Yes	
row_24	CASK	123	44.538490295410156	0.32749495	Yes	
row_25	TMEM115	124	44.175758361816406	0.3365494	Yes	
row_26	SPIRE2	126	43.72304153442383	0.34502375	Yes	
row_27	UHMK1	127	43.614986419677734	0.35396326	Yes	
row_28	CNIH4	129	43.32367706298828	0.36235577	Yes	
row_29	BET1	132	42.69601821899414	0.37013227	Yes	
row_30	TMEM9	139	41.25278854370117	0.37566364	Yes	
row_31	YWHAH	142	41.03177261352539	0.38309902	Yes	
row_32	TCIRG1	144	40.49304962158203	0.39091134	Yes	
row_33	ADRA2C	178	37.6933708190918	0.38255528	Yes	
row_34	RAB26	194	35.293155670166016	0.38247916	Yes	
row_35	SURF4	231	32.11986541748047	0.37151873	Yes	
row_36	RAB3D	236	31.371337890625	0.37599942	Yes	
row_37	PIK3R2	245	30.8616943359375	0.37842634	Yes	
row_38	GOPC	253	30.216007232666016	0.38120824	Yes	
row_39	P3H1	257	30.009521484375	0.38589713	Yes	
row_40	NLGN2	261	29.708885192871094	0.39052442	Yes	
row_41	BLZF1	262	29.672876358032227	0.3966063	Yes	
row_42	LMTK2	266	29.309307098388672	0.4011517	Yes	
row_43	CAMSAP3	271	29.09208869934082	0.4051652	Yes	
row_44	IRS2	281	28.43000602722168	0.40660638	Yes	
row_45	TMEM132A	283	28.310590744018555	0.4119217	Yes	
row_46	YIF1A	300	26.73000717163086	0.40960315	Yes	
row_47	SNX33	306	26.6299991607666	0.41262472	Yes	
row_48	HYAL2	307	26.56301498413086	0.41806918	Yes	
row_49	RHOB	311	26.509048461914062	0.4220406	Yes	
row_50	RAB14	329	25.53462791442871	0.4189897	Yes	
row_51	VPS26C	330	25.440853118896484	0.42420417	Yes	
row_52	TRPM4	353	23.84544563293457	0.4183704	No	
row_53	CPLX1	361	23.323162078857422	0.41973948	No	
row_54	IPO11	389	21.884700775146484	0.4110672	No	
row_55	LRP1	394	21.703807830810547	0.41356638	No	
row_56	EXOC4	417	20.866657257080078	0.40712205	No	
row_57	TRIM3	419	20.844846725463867	0.41090718	No	
row_58	TGFB1	420	20.842241287231445	0.4151791	No	
row_59	RAB6B	427	20.586387634277344	0.4164746	No	
row_60	PTPRN2	442	19.63192367553711	0.41367584	No	
row_61	SEL1L	449	19.475568771362305	0.41474366	No	
row_62	ARL5A	456	19.345495223999023	0.4157848	No	
row_63	RHBDD1	478	18.823949813842773	0.40940914	No	
row_64	CLSTN3	490	18.358264923095703	0.4078113	No	
row_65	SYT7	494	18.281587600708008	0.4100964	No	
row_66	AKTIP	502	18.028947830200195	0.4103804	No	
row_67	SFT2D3	511	17.606678009033203	0.41009048	No	
row_68	MAVS	515	17.393930435180664	0.41219363	No	
row_69	GPN1	536	16.780052185058594	0.40588635	No	
row_70	EHD3	595	15.27688217163086	0.38075247	No	
row_71	ARRB1	622	14.689346313476562	0.3710927	No	
row_72	RAB12	628	14.519920349121094	0.37163213	No	
row_73	ABAT	641	14.28150463104248	0.36871135	No	
row_74	RAB37	666	13.568243980407715	0.35979646	No	
row_75	SELENBP1	676	13.395660400390625	0.35815614	No	
row_76	RTN2	683	13.238103866577148	0.3579455	No	
row_77	SCAMP5	702	12.620265007019043	0.35176027	No	
row_78	UNC93B1	724	12.34146499633789	0.34405592	No	
row_79	AP3B2	729	12.26363754272461	0.3446202	No	
row_80	F2R	736	12.186182975769043	0.34419397	No	
row_81	RAB36	753	11.89090347290039	0.3388339	No	
row_82	GNAZ	758	11.808984756469727	0.339305	No	
row_83	PKDCC	788	11.046005249023438	0.3274365	No	
row_84	NECAB3	807	10.772126197814941	0.3208725	No	
row_85	TSNARE1	809	10.749238014221191	0.32258835	No	
row_86	MVB12B	816	10.646015167236328	0.32184643	No	
row_87	MVP	825	10.48954963684082	0.32009777	No	
row_88	SNX30	826	10.477679252624512	0.32224533	No	
row_89	RAB3C	831	10.347546577453613	0.3224169	No	
row_90	ACHE	840	10.176713943481445	0.32060412	No	
row_91	FHIP1A	844	10.131144523620605	0.32121867	No	
row_92	RAB3A	845	10.130326271057129	0.32329503	No	
row_93	CLU	848	10.107771873474121	0.32439208	No	
row_94	INHBB	877	9.639410972595215	0.3127226	No	
row_95	MYO7A	884	9.565579414367676	0.31175923	No	
row_96	NAGPA	887	9.52763843536377	0.3127374	No	
row_97	VPS37D	910	9.291353225708008	0.30392054	No	
row_98	HSPB1	916	9.134628295898438	0.30335617	No	
row_99	ATP6AP1	924	9.030034065246582	0.3017957	No	
row_100	SIDT2	934	8.876265525817871	0.29922906	No	
row_101	GAS6	984	8.16102123260498	0.27702263	No	
row_102	ANKRD50	985	8.153338432312012	0.2786938	No	
row_103	SLC15A3	992	8.084622383117676	0.27742687	No	
row_104	NEURL1B	1037	7.512929916381836	0.25752425	No	
row_105	RAB43	1047	7.354379177093506	0.25464568	No	
row_106	HAP1	1065	7.098012924194336	0.2478159	No	
row_107	KCNB1	1078	6.955301761627197	0.24339356	No	
row_108	SMO	1095	6.748774528503418	0.23697954	No	
row_109	NEURL3	1108	6.532169342041016	0.23247045	No	
row_110	SIRT4	1109	6.530491352081299	0.23380896	No	
row_111	RAB39A	1113	6.514353275299072	0.23368219	No	
row_112	IL1RN	1121	6.433563232421875	0.23158954	No	
row_113	VGF	1151	5.991729259490967	0.21868508	No	
row_114	KIF5A	1152	5.9707746505737305	0.21990886	No	
row_115	NSG1	1175	5.690686225891113	0.21035402	No	
row_116	MX2	1187	5.617465496063232	0.20614477	No	
row_117	LARGE1	1238	5.194664001464844	0.18284301	No	
row_118	NGFR	1248	5.130332946777344	0.17950858	No	
row_119	ADCY5	1266	4.982063293457031	0.17224513	No	
row_120	MAP1A	1296	4.692839622497559	0.15907444	No	
row_121	NOTCH1	1298	4.672615051269531	0.15954484	No	
row_122	AMN	1300	4.635356903076172	0.16000758	No	
row_123	ABCG1	1302	4.6096906661987305	0.16046508	No	
row_124	TGFB2	1311	4.514194011688232	0.1574917	No	
row_125	SIX3	1320	4.44719934463501	0.15450458	No	
row_126	MLXIPL	1322	4.410616874694824	0.15492126	No	
row_127	GNAO1	1326	4.384249687194824	0.1543579	No	
row_128	GPR68	1380	3.9905295372009277	0.12934735	No	
row_129	TLR4	1422	-4.4319844245910645	0.11027524	No	
row_130	ADTRP	1425	-4.450666904449463	0.11021281	No	
row_131	ARL4C	1444	-4.7345380783081055	0.10241129	No	
row_132	RFTN1	1474	-5.191365718841553	0.08934279	No	
row_133	CALCRL	1485	-5.2918291091918945	0.08555413	No	
row_134	NMU	1493	-5.500007629394531	0.083270125	No	
row_135	CAPS2	1503	-5.606596946716309	0.08003332	No	
row_136	LCP1	1525	-6.1007914543151855	0.07104985	No	
row_137	F2RL1	1584	-7.359578609466553	0.044293188	No	
row_138	VEGFC	1599	-7.615478038787842	0.039031476	No	
row_139	TMEM30B	1602	-7.711838245391846	0.039637472	No	
row_140	NUP62CL	1606	-7.760715961456299	0.039766155	No	
row_141	CBLB	1619	-8.154120445251465	0.035589505	No	
row_142	CAV1	1636	-8.576523780822754	0.029550117	No	
row_143	SYTL5	1718	-11.726449012756348	-0.0075200624	No	
row_144	DTNBP1	1721	-11.843500137329102	-0.006067225	No	
row_145	BMP6	1731	-12.33530044555664	-0.007924892	No	
row_146	AKAP5	1733	-12.356865882873535	-0.005879503	No	
row_147	AP1S2	1734	-12.362855911254883	-0.003345557	No	
row_148	SNX10	1782	-14.05783462524414	-0.023368685	No	
row_149	SH3TC2	1804	-15.582804679870605	-0.030408682	No	
row_150	NUP35	1820	-16.210351943969727	-0.03439608	No	
row_151	NAPB	1827	-16.456632614135742	-0.03394703	No	
row_152	LCA5	1843	-17.444528579711914	-0.037681464	No	
row_153	REST	1860	-18.132930755615234	-0.04176213	No	
row_154	ASPH	1861	-18.286710739135742	-0.038014002	No	
row_155	TANGO6	1873	-18.75444984436035	-0.03953063	No	
row_156	TM7SF3	1883	-19.165576934814453	-0.039988335	No	
row_157	STX3	1908	-20.200014114379883	-0.047543958	No	
row_158	SLC7A11	1913	-20.44349479675293	-0.045303084	No	
row_159	POLA2	1924	-20.967914581298828	-0.0458787	No	
row_160	CLTA	1936	-21.63370132446289	-0.046805188	No	
row_161	PEX5	1940	-21.769712448120117	-0.043805156	No	
row_162	ECT2	1953	-22.65511703491211	-0.045009617	No	
row_163	PREPL	1961	-23.03946304321289	-0.043698654	No	
row_164	VIPAS39	1987	-24.563152313232422	-0.050847314	No	
row_165	EDEM1	2047	-30.963903427124023	-0.07325325	No	
row_166	RAB5A	2064	-32.200950622558594	-0.07445048	No	
row_167	NDEL1	2071	-32.59892654418945	-0.07069283	No	
row_168	AP2B1	2086	-34.04948043823242	-0.07053651	No	
row_169	ALDOA	2093	-34.927223205566406	-0.06630165	No	
row_170	STX6	2131	-39.343013763427734	-0.07626892	No	
row_171	DGKD	2135	-39.65384292602539	-0.06960328	No	
row_172	GRPEL2	2137	-40.11231994628906	-0.06186901	No	
row_173	LYPLA1	2150	-43.326698303222656	-0.05883653	No	
row_174	SACM1L	2151	-44.02299880981445	-0.04981338	No	
row_175	KIF3A	2154	-44.32493591308594	-0.041703004	No	
row_176	RAB1A	2161	-45.8400764465332	-0.035231393	No	
row_177	CBL	2163	-46.038185119628906	-0.026282532	No	
row_178	TMED2	2181	-54.382164001464844	-0.023420723	No	
row_179	ARL8B	2186	-56.39438247680664	-0.013811198	No	
row_180	SEPTIN8	2196	-62.511383056640625	-0.0053845523	No	
row_181	RAP1B	2228	-111.86548614501953	0.0024366817	No	
